time,item001,item002,item003,item004
1,700,200,0,300
2,400,300,0,210
3,300,400,0,300
4,250,300,0,370
5,300,200,0,700
6,400,700,0,300
7,300,300,0,130
8,1000,300,0,400
9,200,200,0,250
10,490,270,0,310
11,370,170,0,300
12,300,220,0,100
13,847,242,0,352
14,484,363,0,246
15,363,484,0,352
16,303,363,0,434
17,363,242,0,821
18,484,847,0,352
19,363,363,0,153
20,1210,363,0,469
21,242,242,0,293
22,593,327,0,364
23,448,206,0,352
24,363,266,0,117
25,1016,290,0,411
26,581,436,0,288
27,436,581,0,411
28,363,436,0,507
29,436,290,0,960
30,581,1016,0,411
31,436,436,0,178
32,1452,436,0,549
33,290,290,0,343
34,711,392,0,425
35,537,247,0,411
36,436,319,0,137
37,1211,346,0,479
38,692,519,0,335
39,519,692,0,479
40,433,519,0,591
41,519,346,0,1118
42,692,1211,0,479
43,519,519,0,208
44,1730,519,0,639
45,346,346,0,399
46,848,467,0,495
47,640,294,0,479
48,519,381,0,160
49,1435,410,0,556
50,820,615,0,389
51,615,820,0,556
52,512,615,0,686
53,615,410,0,1298
54,820,1435,0,556
55,615,615,0,241
56,2050,615,0,742
57,410,410,0,464
58,1004,553,0,575
59,758,348,0,556
60,615,451,0,185
61,1691,483,0,644
62,966,725,0,451
63,725,966,0,644
64,604,725,0,795
65,725,483,0,1503
66,966,1691,0,644
67,725,725,0,279
68,2416,725,0,859
69,483,483,0,537
70,1184,652,0,666
71,894,411,0,644
72,725,531,0,215
73,1984,567,0,744
74,1134,850,0,521
75,850,1134,0,744
76,709,850,0,918
77,850,567,0,1736
78,1134,1984,0,744
79,850,850,0,322
80,2834,850,0,992
81,567,567,0,620
82,1389,765,0,769
83,1049,482,0,744
84,850,624,0,248
85,2319,663,0,857
86,1325,994,0,600
87,994,1325,0,857
88,828,994,0,1058
89,994,663,0,2001
90,1325,2319,0,857
91,994,994,0,372
92,3313,994,0,1143
93,663,663,0,715
94,1623,894,0,886
95,1226,563,0,857
96,994,729,0,286
97,2701,772,0,986
98,1543,1158,0,690
99,1158,1543,0,986
100,965,1158,0,1216
101,1158,772,0,2301
102,1543,2701,0,986
103,1158,1158,0,427
104,3858,1158,0,1315
105,772,772,0,822
106,1891,1042,0,1019
107,1428,656,0,986
108,1158,849,0,329
109,3136,896,0,1132
110,1792,1344,0,792
111,1344,1792,0,1132
112,1120,1344,0,1396
113,1344,896,0,2641
114,1792,3136,0,1132
115,1344,1344,0,490
116,4480,1344,0,1509
117,896,896,0,943
118,2195,1210,0,1170
119,1658,762,0,1132
120,1344,986,0,377
