time,item001,item002,item003,item004
1,700,400,300,600
2,400,600,900,420
3,300,800,1800,600
4,250,600,1500,740
5,300,400,600,1400
6,400,1400,1020,600
7,300,600,1800,260
8,1000,600,900,800
9,200,400,900,500
10,490,540,1500,620
11,370,340,1410,600
12,300,440,1500,200
13,847,484,355,704
14,484,726,1064,493
15,363,968,2129,704
16,303,726,1774,868
17,363,484,710,1643
18,484,1694,1206,704
19,363,726,2129,305
20,1210,726,1064,939
21,242,484,1064,587
22,593,653,1774,727
23,448,411,1667,704
24,363,532,1774,235
25,1016,581,417,823
26,581,871,1252,576
27,436,1162,2505,823
28,363,871,2087,1015
29,436,581,835,1920
30,581,2033,1419,823
31,436,871,2505,357
32,1452,871,1252,1097
33,290,581,1252,686
34,711,784,2087,850
35,537,494,1962,823
36,436,639,2087,274
37,1211,692,489,958
38,692,1038,1467,671
39,519,1384,2935,958
40,433,1038,2446,1182
41,519,692,978,2236
42,692,2422,1663,958
43,519,1038,2935,415
44,1730,1038,1467,1278
45,346,692,1467,799
46,848,934,2446,990
47,640,588,2299,958
48,519,761,2446,319
49,1435,820,571,1113
50,820,1230,1713,779
51,615,1640,3426,1113
52,512,1230,2855,1372
53,615,820,1142,2596
54,820,2870,1941,1113
55,615,1230,3426,482
56,2050,1230,1713,1484
57,410,820,1713,927
58,1004,1107,2855,1150
59,758,697,2684,1113
60,615,902,2855,371
61,1691,966,664,1288
62,966,1449,1993,902
63,725,1933,3986,1288
64,604,1449,3322,1589
65,725,966,1329,3006
66,966,3382,2259,1288
67,725,1449,3986,558
68,2416,1449,1993,1718
69,483,966,1993,1074
70,1184,1305,3322,1331
71,894,821,3122,1288
72,725,1063,3322,429
73,1984,1134,771,1488
74,1134,1701,2312,1042
75,850,2268,4624,1488
76,709,1701,3853,1835
77,850,1134,1541,3472
78,1134,3968,2620,1488
79,850,1701,4624,645
80,2834,1701,2312,1984
81,567,1134,2312,1240
82,1389,1531,3853,1538
83,1049,964,3622,1488
84,850,1247,3853,496
85,2319,1325,892,1715
86,1325,1988,2675,1200
87,994,2650,5349,1715
88,828,1988,4458,2115
89,994,1325,1783,4001
90,1325,4638,3031,1715
91,994,1988,5349,743
92,3313,1988,2675,2286
93,663,1325,2675,1429
94,1623,1789,4458,1772
95,1226,1126,4190,1715
96,994,1458,4458,572
97,2701,1543,1029,1972
98,1543,2315,3087,1380
99,1158,3087,6174,1972
100,965,2315,5145,2432
101,1158,1543,2058,4602
102,1543,5402,3498,1972
103,1158,2315,6174,855
104,3858,2315,3087,2629
105,772,1543,3087,1643
106,1891,2084,5145,2038
107,1428,1312,4836,1972
108,1158,1698,5145,657
109,3136,1792,1185,2264
110,1792,2688,3555,1585
111,1344,3584,7109,2264
112,1120,2688,5924,2792
113,1344,1792,2370,5282
114,1792,6272,4029,2264
115,1344,2688,7109,981
116,4480,2688,3555,3018
117,896,1792,3555,1886
118,2195,2419,5924,2339
119,1658,1523,5569,2264
120,1344,1971,5924,755
