time,item001,item002,item003,item004
1,207,709,631,579
2,379,928,160,832
3,348,261,949,778
4,204,674,440,605
5,716,982,590,334
6,119,469,976,845
7,449,376,116,873
8,444,553,935,759
9,872,271,163,294
10,578,424,146,571
11,504,693,580,363
12,953,665,918,777
13,621,231,606,759
14,708,614,604,259
15,463,245,692,320
16,174,766,644,990
17,140,247,938,389
18,772,886,902,948
19,476,488,710,874
20,782,448,703,197
21,412,148,535,884
22,462,352,764,600
23,706,995,922,469
24,368,611,748,485
25,594,360,476,873
26,232,353,996,325
27,693,318,889,192
28,232,852,153,367
29,742,810,245,627
30,325,307,440,367
31,363,752,515,567
32,904,907,829,312
33,817,936,601,645
34,165,665,389,450
35,775,232,132,935
36,391,608,520,724
37,239,744,459,125
38,868,111,506,475
39,766,632,557,903
40,497,150,700,867
41,630,920,857,525
42,868,816,667,838
43,898,588,337,678
44,254,320,116,266
45,137,721,297,505
46,988,602,277,847
47,675,191,952,675
48,101,426,154,645
49,345,666,618,577
50,742,770,808,800
51,923,582,347,797
52,522,341,966,603
53,963,459,736,628
54,461,138,532,532
55,875,391,604,512
56,414,329,334,722
57,444,542,193,570
58,152,812,596,812
59,721,866,233,226
60,739,850,293,225
61,411,262,453,553
62,242,830,617,236
63,115,570,394,980
64,652,310,868,574
65,870,836,540,506
66,591,114,442,490
67,497,535,145,430
68,855,864,329,703
69,871,562,455,897
70,403,319,590,434
71,738,173,910,818
72,611,638,822,916
73,445,448,119,389
74,627,312,520,414
75,133,113,532,449
76,365,430,455,885
77,273,439,139,246
78,613,447,415,391
79,703,892,438,814
80,641,189,489,446
81,826,264,491,343
82,457,353,528,421
83,588,141,999,518
84,675,984,308,941
85,704,721,299,579
86,794,585,789,716
87,822,542,758,277
88,585,951,246,431
89,576,898,175,676
90,219,265,816,663
91,171,387,819,377
92,895,595,456,225
93,723,537,214,890
94,411,695,535,347
95,826,833,391,195
96,625,581,228,423
97,147,823,460,359
98,634,547,906,592
99,305,152,468,259
100,674,890,437,449
101,737,173,494,387
102,234,858,921,673
103,597,551,530,585
104,663,352,653,956
105,223,199,771,575
106,728,199,644,381
107,585,762,786,274
108,101,756,752,242
109,577,145,657,357
110,300,198,829,684
111,715,168,847,143
112,369,586,831,336
113,598,489,461,779
114,518,815,198,613
115,559,872,348,720
116,180,231,992,200
117,447,603,406,193
118,126,107,247,769
119,428,581,291,412
120,581,269,771,802
