time,item001,item002,item003,item004
1,1400,400,100,300
2,800,600,300,210
3,600,800,600,300
4,500,600,500,370
5,600,400,200,700
6,800,1400,340,300
7,600,600,600,130
8,2000,600,300,400
9,400,400,300,250
10,980,540,500,310
11,740,340,470,300
12,600,440,500,100
13,1694,484,118,352
14,968,726,355,246
15,726,968,710,352
16,605,726,591,434
17,726,484,237,821
18,968,1694,402,352
19,726,726,710,153
20,2420,726,355,469
21,484,484,355,293
22,1186,653,591,364
23,895,411,556,352
24,726,532,591,117
25,2033,581,139,411
26,1162,871,417,288
27,871,1162,835,411
28,726,871,696,507
29,871,581,278,960
30,1162,2033,473,411
31,871,871,835,178
32,2904,871,417,549
33,581,581,417,343
34,1423,784,696,425
35,1074,494,654,411
36,871,639,696,137
37,2422,692,163,479
38,1384,1038,489,335
39,1038,1384,978,479
40,865,1038,815,591
41,1038,692,326,1118
42,1384,2422,554,479
43,1038,1038,978,208
44,3461,1038,489,639
45,692,692,489,399
46,1696,934,815,495
47,1280,588,766,479
48,1038,761,815,160
49,2870,820,190,556
50,1640,1230,571,389
51,1230,1640,1142,556
52,1025,1230,952,686
53,1230,820,381,1298
54,1640,2870,647,556
55,1230,1230,1142,241
56,4099,1230,571,742
57,820,820,571,464
58,2009,1107,952,575
59,1517,697,895,556
60,1230,902,952,185
61,3382,966,221,644
62,1933,1449,664,451
63,1449,1933,1329,644
64,1208,1449,1107,795
65,1449,966,443,1503
66,1933,3382,753,644
67,1449,1449,1329,279
68,4832,1449,664,859
69,966,966,664,537
70,2367,1305,1107,666
71,1788,821,1041,644
72,1449,1063,1107,215
73,3968,1134,257,744
74,2268,1701,771,521
75,1701,2268,1541,744
76,1417,1701,1284,918
77,1701,1134,514,1736
78,2268,3968,873,744
79,1701,1701,1541,322
80,5669,1701,771,992
81,1134,1134,771,620
82,2778,1531,1284,769
83,2098,964,1207,744
84,1701,1247,1284,248
85,4638,1325,297,857
86,2650,1988,892,600
87,1988,2650,1783,857
88,1656,1988,1486,1058
89,1988,1325,594,2001
90,2650,4638,1010,857
91,1988,1988,1783,372
92,6626,1988,892,1143
93,1325,1325,892,715
94,3247,1789,1486,886
95,2451,1126,1397,857
96,1988,1458,1486,286
97,5402,1543,343,986
98,3087,2315,1029,690
99,2315,3087,2058,986
100,1929,2315,1715,1216
101,2315,1543,686,2301
102,3087,5402,1166,986
103,2315,2315,2058,427
104,7717,2315,1029,1315
105,1543,1543,1029,822
106,3781,2084,1715,1019
107,2855,1312,1612,986
108,2315,1698,1715,329
109,6272,1792,395,1132
110,3584,2688,1185,792
111,2688,3584,2370,1132
112,2240,2688,1975,1396
113,2688,1792,790,2641
114,3584,6272,1343,1132
115,2688,2688,2370,490
116,8960,2688,1185,1509
117,1792,1792,1185,943
118,4390,2419,1975,1170
119,3315,1523,1856,1132
120,2688,1971,1975,377
