time,item001,item002,item003,item004
1,1400,400,150,300
2,800,600,450,210
3,600,800,900,300
4,500,600,750,370
5,600,400,300,700
6,800,1400,510,300
7,600,600,900,130
8,2000,600,450,400
9,400,400,450,250
10,980,540,750,310
11,740,340,705,300
12,600,440,750,100
13,1694,484,177,352
14,968,726,532,246
15,726,968,1064,352
16,605,726,887,434
17,726,484,355,821
18,968,1694,603,352
19,726,726,1064,153
20,2420,726,532,469
21,484,484,532,293
22,1186,653,887,364
23,895,411,834,352
24,726,532,887,117
25,2033,581,209,411
26,1162,871,626,288
27,871,1162,1252,411
28,726,871,1044,507
29,871,581,417,960
30,1162,2033,710,411
31,871,871,1252,178
32,2904,871,626,549
33,581,581,626,343
34,1423,784,1044,425
35,1074,494,981,411
36,871,639,1044,137
37,2422,692,245,479
38,1384,1038,734,335
39,1038,1384,1467,479
40,865,1038,1223,591
41,1038,692,489,1118
42,1384,2422,832,479
43,1038,1038,1467,208
44,3461,1038,734,639
45,692,692,734,399
46,1696,934,1223,495
47,1280,588,1149,479
48,1038,761,1223,160
49,2870,820,285,556
50,1640,1230,856,389
51,1230,1640,1713,556
52,1025,1230,1427,686
53,1230,820,571,1298
54,1640,2870,971,556
55,1230,1230,1713,241
56,4099,1230,856,742
57,820,820,856,464
58,2009,1107,1427,575
59,1517,697,1342,556
60,1230,902,1427,185
61,3382,966,332,644
62,1933,1449,997,451
63,1449,1933,1993,644
64,1208,1449,1661,795
65,1449,966,664,1503
66,1933,3382,1129,644
67,1449,1449,1993,279
68,4832,1449,997,859
69,966,966,997,537
70,2367,1305,1661,666
71,1788,821,1561,644
72,1449,1063,1661,215
73,3968,1134,385,744
74,2268,1701,1156,521
75,1701,2268,2312,744
76,1417,1701,1927,918
77,1701,1134,771,1736
78,2268,3968,1310,744
79,1701,1701,2312,322
80,5669,1701,1156,992
81,1134,1134,1156,620
82,2778,1531,1927,769
83,2098,964,1811,744
84,1701,1247,1927,248
85,4638,1325,446,857
86,2650,1988,1337,600
87,1988,2650,2675,857
88,1656,1988,2229,1058
89,1988,1325,892,2001
90,2650,4638,1516,857
91,1988,1988,2675,372
92,6626,1988,1337,1143
93,1325,1325,1337,715
94,3247,1789,2229,886
95,2451,1126,2095,857
96,1988,1458,2229,286
97,5402,1543,514,986
98,3087,2315,1543,690
99,2315,3087,3087,986
100,1929,2315,2572,1216
101,2315,1543,1029,2301
102,3087,5402,1749,986
103,2315,2315,3087,427
104,7717,2315,1543,1315
105,1543,1543,1543,822
106,3781,2084,2572,1019
107,2855,1312,2418,986
108,2315,1698,2572,329
109,6272,1792,592,1132
110,3584,2688,1777,792
111,2688,3584,3555,1132
112,2240,2688,2962,1396
113,2688,1792,1185,2641
114,3584,6272,2014,1132
115,2688,2688,3555,490
116,8960,2688,1777,1509
117,1792,1792,1777,943
118,4390,2419,2962,1170
119,3315,1523,2784,1132
120,2688,1971,2962,377
