time,item001,item002,item003,item004
1,700,400,100,600
2,400,600,300,420
3,300,800,600,600
4,250,600,500,740
5,300,400,200,1400
6,400,1400,340,600
7,300,600,600,260
8,1000,600,300,800
9,200,400,300,500
10,490,540,500,620
11,370,340,470,600
12,300,440,500,200
13,847,484,118,704
14,484,726,355,493
15,363,968,710,704
16,303,726,591,868
17,363,484,237,1643
18,484,1694,402,704
19,363,726,710,305
20,1210,726,355,939
21,242,484,355,587
22,593,653,591,727
23,448,411,556,704
24,363,532,591,235
25,1016,581,139,823
26,581,871,417,576
27,436,1162,835,823
28,363,871,696,1015
29,436,581,278,1920
30,581,2033,473,823
31,436,871,835,357
32,1452,871,417,1097
33,290,581,417,686
34,711,784,696,850
35,537,494,654,823
36,436,639,696,274
37,1211,692,163,958
38,692,1038,489,671
39,519,1384,978,958
40,433,1038,815,1182
41,519,692,326,2236
42,692,2422,554,958
43,519,1038,978,415
44,1730,1038,489,1278
45,346,692,489,799
46,848,934,815,990
47,640,588,766,958
48,519,761,815,319
49,1435,820,190,1113
50,820,1230,571,779
51,615,1640,1142,1113
52,512,1230,952,1372
53,615,820,381,2596
54,820,2870,647,1113
55,615,1230,1142,482
56,2050,1230,571,1484
57,410,820,571,927
58,1004,1107,952,1150
59,758,697,895,1113
60,615,902,952,371
61,1691,966,221,1288
62,966,1449,664,902
63,725,1933,1329,1288
64,604,1449,1107,1589
65,725,966,443,3006
66,966,3382,753,1288
67,725,1449,1329,558
68,2416,1449,664,1718
69,483,966,664,1074
70,1184,1305,1107,1331
71,894,821,1041,1288
72,725,1063,1107,429
73,1984,1134,257,1488
74,1134,1701,771,1042
75,850,2268,1541,1488
76,709,1701,1284,1835
77,850,1134,514,3472
78,1134,3968,873,1488
79,850,1701,1541,645
80,2834,1701,771,1984
81,567,1134,771,1240
82,1389,1531,1284,1538
83,1049,964,1207,1488
84,850,1247,1284,496
85,2319,1325,297,1715
86,1325,1988,892,1200
87,994,2650,1783,1715
88,828,1988,1486,2115
89,994,1325,594,4001
90,1325,4638,1010,1715
91,994,1988,1783,743
92,3313,1988,892,2286
93,663,1325,892,1429
94,1623,1789,1486,1772
95,1226,1126,1397,1715
96,994,1458,1486,572
97,2701,1543,343,1972
98,1543,2315,1029,1380
99,1158,3087,2058,1972
100,965,2315,1715,2432
101,1158,1543,686,4602
102,1543,5402,1166,1972
103,1158,2315,2058,855
104,3858,2315,1029,2629
105,772,1543,1029,1643
106,1891,2084,1715,2038
107,1428,1312,1612,1972
108,1158,1698,1715,657
109,3136,1792,395,2264
110,1792,2688,1185,1585
111,1344,3584,2370,2264
112,1120,2688,1975,2792
113,1344,1792,790,5282
114,1792,6272,1343,2264
115,1344,2688,2370,981
116,4480,2688,1185,3018
117,896,1792,1185,1886
118,2195,2419,1975,2339
119,1658,1523,1856,2264
120,1344,1971,1975,755
