time,item001,item002,item003,item004
1,1400,0,200,300
2,800,0,600,210
3,600,0,1200,300
4,500,0,1000,370
5,600,0,400,700
6,800,0,680,300
7,600,0,1200,130
8,2000,0,600,400
9,400,0,600,250
10,980,0,1000,310
11,740,0,940,300
12,600,0,1000,100
13,1694,0,237,352
14,968,0,710,246
15,726,0,1419,352
16,605,0,1183,434
17,726,0,473,821
18,968,0,804,352
19,726,0,1419,153
20,2420,0,710,469
21,484,0,710,293
22,1186,0,1183,364
23,895,0,1112,352
24,726,0,1183,117
25,2033,0,278,411
26,1162,0,835,288
27,871,0,1670,411
28,726,0,1392,507
29,871,0,557,960
30,1162,0,946,411
31,871,0,1670,178
32,2904,0,835,549
33,581,0,835,343
34,1423,0,1392,425
35,1074,0,1308,411
36,871,0,1392,137
37,2422,0,326,479
38,1384,0,978,335
39,1038,0,1957,479
40,865,0,1630,591
41,1038,0,652,1118
42,1384,0,1109,479
43,1038,0,1957,208
44,3461,0,978,639
45,692,0,978,399
46,1696,0,1630,495
47,1280,0,1533,479
48,1038,0,1630,160
49,2870,0,381,556
50,1640,0,1142,389
51,1230,0,2284,556
52,1025,0,1903,686
53,1230,0,761,1298
54,1640,0,1294,556
55,1230,0,2284,241
56,4099,0,1142,742
57,820,0,1142,464
58,2009,0,1903,575
59,1517,0,1789,556
60,1230,0,1903,185
61,3382,0,443,644
62,1933,0,1329,451
63,1449,0,2657,644
64,1208,0,2214,795
65,1449,0,886,1503
66,1933,0,1506,644
67,1449,0,2657,279
68,4832,0,1329,859
69,966,0,1329,537
70,2367,0,2214,666
71,1788,0,2082,644
72,1449,0,2214,215
73,3968,0,514,744
74,2268,0,1541,521
75,1701,0,3083,744
76,1417,0,2569,918
77,1701,0,1028,1736
78,2268,0,1747,744
79,1701,0,3083,322
80,5669,0,1541,992
81,1134,0,1541,620
82,2778,0,2569,769
83,2098,0,2415,744
84,1701,0,2569,248
85,4638,0,594,857
86,2650,0,1783,600
87,1988,0,3566,857
88,1656,0,2972,1058
89,1988,0,1189,2001
90,2650,0,2021,857
91,1988,0,3566,372
92,6626,0,1783,1143
93,1325,0,1783,715
94,3247,0,2972,886
95,2451,0,2793,857
96,1988,0,2972,286
97,5402,0,686,986
98,3087,0,2058,690
99,2315,0,4116,986
100,1929,0,3430,1216
101,2315,0,1372,2301
102,3087,0,2332,986
103,2315,0,4116,427
104,7717,0,2058,1315
105,1543,0,2058,822
106,3781,0,3430,1019
107,2855,0,3224,986
108,2315,0,3430,329
109,6272,0,790,1132
110,3584,0,2370,792
111,2688,0,4739,1132
112,2240,0,3950,1396
113,2688,0,1580,2641
114,3584,0,2686,1132
115,2688,0,4739,490
116,8960,0,2370,1509
117,1792,0,2370,943
118,4390,0,3950,1170
119,3315,0,3713,1132
120,2688,0,3950,377
