time,item001,item002,item003,item004
1,0,200,0,300
2,0,300,0,210
3,0,400,0,300
4,0,300,0,370
5,0,200,0,700
6,0,700,0,300
7,0,300,0,130
8,0,300,0,400
9,0,200,0,250
10,0,270,0,310
11,0,170,0,300
12,0,220,0,100
13,0,242,0,352
14,0,363,0,246
15,0,484,0,352
16,0,363,0,434
17,0,242,0,821
18,0,847,0,352
19,0,363,0,153
20,0,363,0,469
21,0,242,0,293
22,0,327,0,364
23,0,206,0,352
24,0,266,0,117
25,0,290,0,411
26,0,436,0,288
27,0,581,0,411
28,0,436,0,507
29,0,290,0,960
30,0,1016,0,411
31,0,436,0,178
32,0,436,0,549
33,0,290,0,343
34,0,392,0,425
35,0,247,0,411
36,0,319,0,137
37,0,346,0,479
38,0,519,0,335
39,0,692,0,479
40,0,519,0,591
41,0,346,0,1118
42,0,1211,0,479
43,0,519,0,208
44,0,519,0,639
45,0,346,0,399
46,0,467,0,495
47,0,294,0,479
48,0,381,0,160
49,0,410,0,556
50,0,615,0,389
51,0,820,0,556
52,0,615,0,686
53,0,410,0,1298
54,0,1435,0,556
55,0,615,0,241
56,0,615,0,742
57,0,410,0,464
58,0,553,0,575
59,0,348,0,556
60,0,451,0,185
61,0,483,0,644
62,0,725,0,451
63,0,966,0,644
64,0,725,0,795
65,0,483,0,1503
66,0,1691,0,644
67,0,725,0,279
68,0,725,0,859
69,0,483,0,537
70,0,652,0,666
71,0,411,0,644
72,0,531,0,215
73,0,567,0,744
74,0,850,0,521
75,0,1134,0,744
76,0,850,0,918
77,0,567,0,1736
78,0,1984,0,744
79,0,850,0,322
80,0,850,0,992
81,0,567,0,620
82,0,765,0,769
83,0,482,0,744
84,0,624,0,248
85,0,663,0,857
86,0,994,0,600
87,0,1325,0,857
88,0,994,0,1058
89,0,663,0,2001
90,0,2319,0,857
91,0,994,0,372
92,0,994,0,1143
93,0,663,0,715
94,0,894,0,886
95,0,563,0,857
96,0,729,0,286
97,0,772,0,986
98,0,1158,0,690
99,0,1543,0,986
100,0,1158,0,1216
101,0,772,0,2301
102,0,2701,0,986
103,0,1158,0,427
104,0,1158,0,1315
105,0,772,0,822
106,0,1042,0,1019
107,0,656,0,986
108,0,849,0,329
109,0,896,0,1132
110,0,1344,0,792
111,0,1792,0,1132
112,0,1344,0,1396
113,0,896,0,2641
114,0,3136,0,1132
115,0,1344,0,490
116,0,1344,0,1509
117,0,896,0,943
118,0,1210,0,1170
119,0,762,0,1132
120,0,986,0,377
