warehouse_id_destination_id;cost
warehouse001_destination001;20.150
warehouse001_destination002;1.96
warehouse001_destination003;15.420
warehouse001_destination004;64.008
warehouse001_destination005;52.960
warehouse001_destination006;69.840
warehouse001_destination007;55.900
warehouse001_destination008;59.985
warehouse002_destination001;0.90
warehouse002_destination002;19.955
warehouse002_destination003;16.12
warehouse002_destination004;443.00
warehouse002_destination005;629.85
warehouse002_destination006;719.82
warehouse002_destination007;798.00
warehouse002_destination008;419.40
